t,y_exacta,y_euler,y_rk4,error_y_euler,error_y_rk4,v_exacta,v_euler,v_rk4,error_v_euler,error_v_rk4,error_norma_euler,error_norma_rk4
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.995037299453687,1.0,0.9950373333333333,0.004962700546312981,3.387964631063056e-08,-0.1976834119912212,-0.2,-0.1976832666666667,0.0023165880087788193,1.4532455450133597e-07,0.005476766994750916,1.4922150171857e-07
0.1,0.9803295444599632,0.99,0.98032962624711,0.00967045554003676,8.178714672180121e-08,-0.3894968636914215,-0.396,-0.389496593625244,0.0065031363085785165,2.7006617747682427e-07,0.01165369006794757,2.82178804281677e-07
0.15000000000000002,0.956215195250505,0.9702,0.9562153373427432,0.013984804749494928,1.420922381978329e-07,-0.573659089720398,-0.58608,-0.5736587188915832,0.012420910279602015,3.708288148773775e-07,0.01870437852630819,3.971198988963283e-07
0.2,0.9231190640347159,0.940896,0.9231192769863812,0.01777693596528407,2.1295166530155285e-07,-0.7484997852198461,-0.7683984,-0.748499340461749,0.019898614780153978,4.447580970179388e-07,0.026682846971093105,4.931107143611086e-07
0.25,0.8815464026970798,0.9024760799999999,0.8815466950410424,0.020929677302920058,2.923439625934776e-07,-0.9124739320376498,-0.9412096320000001,-0.9124734424604245,0.02873569996235026,4.895772253155073e-07,0.03554985013091594,5.702200031676262e-07
0.30000000000000004,0.8320763118232526,0.8554155983999999,0.8320766899294132,0.02333928657674733,3.781061606034086e-07,-1.0641746018465512,-1.1028806553600001,-1.064174098233009,0.03870605351344891,5.036135422020749e-07,0.04519823974998926,6.297546098089095e-07
0.35000000000000003,0.7753545496941369,0.8002715656319999,0.7753550176660013,0.024917015937862996,4.679718644817754e-07,-1.2023441397021442,-1.2519061619328,-1.202343653886536,0.04956202223065587,4.858156081866127e-07,0.055472981989791614,6.745476047724708e-07
0.4,0.7120858242657909,0.7376762575353598,0.7120863838759409,0.02559043326956889,5.596101499971695e-07,-1.3258836494772446,-1.386922351820544,-1.3258832137164986,0.061038702343299445,4.35760745931546e-07,0.06618605184386032,7.092608460042554e-07
0.45,0.6430256546236768,0.6683301399443327,0.6430263052883987,0.02530448532065588,6.506647218795791e-07,-1.4338607209638754,-1.506719156291205,-1.4338603673107473,0.07285843532732961,3.5365312811563854e-07,0.07712761227789929,7.405640521417485e-07
0.5,0.5689718909460997,0.5929941821297724,0.5689726297388903,0.024022291183672717,7.387927906110647e-07,-1.525515357020475,-1.6102508011542473,-1.5255151167078622,0.08473544413377243,2.4031261269819026e-07,0.08807477485784922,7.768944196483296e-07
0.55,0.49075598362686124,0.51248164207206,0.49075680532999155,0.021725658445198803,8.217031303159317e-07,-1.6002640777720214,-1.696644621557117,-1.6002639806173684,0.09638054378509553,9.715465298931747e-08,0.09879885351150668,8.274267707588846e-07
0.6000000000000001,0.40923409289357027,0.42764941099420417,0.4092349900863794,0.018415318100633904,8.971928091572323e-07,-1.6577021973593866,-1.7652080575403866,-1.657702271197677,0.10750586018099995,7.383829037088674e-08,0.10907169162529866,9.002260993374616e-07
0.65,0.32527813002736045,0.33938900811718486,0.32527909320946674,0.014110878089824419,9.631821062949797e-07,-1.697604286901325,-1.8154337785884196,-1.697604557054612,0.11782949168709456,2.7015328707413744e-07,0.11867142028182258,1.000351222523267e-06
0.7000000000000001,0.23976682016237547,0.24861731918776386,0.2397678379095387,0.008850499025388398,1.0177471632399904e-06,-1.7199228550046715,-1.8470029046400882,-1.7199233437954768,0.12708004963541675,4.887908053863299e-07,0.12738787363143475,1.1290375280358332e-06
0.75,0.1535768746482164,0.15626717395575945,0.15357793379816975,0.0026902993075430537,1.0591499533529891e-06,-1.7247852941706066,-1.8597863103848393,-1.7247860204857879,0.13500101621423277,7.263151813319269e-07,0.13502781968631392,1.284263355515865e-06
0.8,0.06757435813251671,0.06327785843651748,0.06757544399771633,0.004296499695999226,1.0858651996181745e-06,-1.7124891576419679,-1.8538440189682945,-1.7124901365528666,0.1413548613263267,9.789108987856565e-07,0.14142014259016558,1.4619746165727912e-06
0.8500000000000001,-0.01739366809166345,-0.029414342511897257,-0.01739257148775053,0.012020674420233808,1.0966039129187144e-06,-1.6834958464744718,-1.8294227102762322,-1.6834970889182976,0.14592686380176034,1.2424438258218373e-06,0.1464211261824426,1.6571683083354687e-06
0.9,-0.10050714927655303,-0.12088547802570887,-0.10050605894327888,0.020378328749155836,1.090333274153532e-06,-1.6384228007616422,-1.786951387568328,-1.638424313288141,0.1485285868066859,1.5125264989368503e-06,0.14992003662419479,1.864554386096723e-06
0.9500000000000001,-0.18098061477662367,-0.2102330474041253,-0.1809795484839855,0.02925243262750163,1.0662926381577176e-06,-1.5780343018808327,-1.7270352642118196,-1.5780360864673408,0.14900096233098692,1.7845865081245194e-06,0.15184528833713182,2.078876859068235e-06
1.0,-0.2580702634395464,-0.2965848106147163,-0.25806923943406224,0.03851454717516989,1.0240054841847979e-06,-1.5032310042519774,-1.650447949446758,-1.503233058188985,0.14721694519478068,2.0539370075844943e-06,0.1521716113359895,2.2950478127406603e-06
1.05,-0.3310804964850682,-0.3791072080870542,-0.3310795331978613,0.048026711601986016,9.632872068898735e-07,-1.4150383253225864,-1.5581220283348798,-1.4150406411709593,0.14308370301229334,2.3158483728469292e-06,0.15092882791239884,2.5082017321131614e-06
1.1,-0.39936984418631627,-0.4570133095037982,-0.39936895993763716,0.057643465317481934,8.842486791116322e-07,-1.3145938312387269,-1.4511381461507713,-1.3145963968587362,0.13654431491204444,2.5656200093315817e-06,0.1482130865632563,2.7137247021010167e-06
1.1500000000000001,-0.4623562397278626,-0.5295702168113368,-0.4623554524322695,0.06721397708347415,7.872955931076397e-07,-1.2031337628749168,-1.3307127213269963,-1.2031365615262575,0.12757895845207945,2.798651340674141e-06,0.144201627435668,2.9072811486995674e-06
1.2000000000000002,-0.5195216009961114,-0.5961058528776866,-0.5195209278724852,0.07658425188157514,6.73123626282468e-07,-1.0819788525350797,-1.1981844235381889,-1.0819818630461064,0.11620557100310913,3.0105110266909207e-06,0.13917213215446253,3.084845548497895e-06
1.25,-0.5704156886808966,-0.656015074054596,-0.5704151459713567,0.08559938537369938,5.427095399745951e-07,-0.952519585677304,-1.0549995644918877,-0.952522782680795,0.1024799788145837,3.1970034910511202e-06,0.1335267794646176,3.2427403483122864e-06
1.3,-0.6146592168523428,-0.7087650522791904,-0.6146588195539736,0.09410583542684758,3.97298369203547e-07,-0.8162010644488119,-0.9026965583911307,-0.8162044186807069,0.08649549394231881,3.354231895014159e-06,0.12781775594067762,3.3776793216204048e-06
1.35,-0.6519462000438503,-0.753899880198747,-0.6519459616569429,0.1019536801548967,2.383869074362721e-07,-0.6745076306520366,-0.74288961676747,-0.6745111093087705,0.06838198611543345,3.478656733890695e-06,0.12276257134085417,3.4868153076812237e-06
1.4000000000000001,-0.6820455287410782,-0.7910443610371205,-0.6820454610373388,0.10899883229604235,6.770373939257723e-08,-0.5289474050213868,-0.5772518483923712,-0.5289509721707101,0.048304443370984385,3.5671493232580787e-06,0.11922275240607978,3.5677917667302707e-06
1.4500000000000002,-0.7048017729701169,-0.819906953456739,-0.7048018857840013,0.1151051804866221,1.128138843453641e-07,-0.38103689741176977,-0.40749793921709965,-0.3810405144512622,0.026461041805329877,3.6170394924206484e-06,0.11810753281768807,3.6187983726966207e-06
1.5,-0.7201352213200826,-0.840281850417594,-0.7201355223660854,0.12014662909751139,3.010460027930151e-07,-0.232285838737134,-0.23536658974140984,-0.23228946489402985,0.00308075100427585,3.6261568958639856e-06,0.12018612028951313,3.6386319584727976e-06
1.55,-0.7280411701535179,-0.8520501799046645,-0.7280416648718826,0.12400900975114659,4.947183647185938e-07,-0.08418238031684536,-0.06260288786306284,-0.0841859731822979,0.021579492453782517,3.592865452539673e-06,0.12587259032062073,3.6267655590681555e-06
1.6,-0.7285884848833025,-0.8551803242978177,-0.7285891763162257,0.12659183941451513,6.914329231388905e-07,0.06182120023102933,0.10905920587513132,0.06181768414054603,0.047238005644101994,3.5160904832964857e-06,0.13511818154335337,3.5834301686970967e-06
1.6500000000000001,-0.7219174619625692,-0.8497273640040611,-0.7219183506625592,0.1278099020414919,8.88699989931574e-07,0.20432215517660843,0.2779140866171922,0.20431875983835154,0.07359193144058376,3.395338256884095e-06,0.1474826885875469,3.509716448769773e-06
1.7000000000000002,-0.7082370265845167,-0.8358316596732015,-0.7082381105561393,0.1275946330886848,1.08397162257301e-06,0.34198016248422175,0.4423012776856606,0.3419769317765012,0.10032111520143883,3.230707720569548e-06,0.1623105558745224,3.407706978936312e-06
1.75,-0.6878213069674683,-0.8137165957889184,-0.6878225816432637,0.12589528882145007,1.27467579535967e-06,0.47352934872345764,0.6006215840665876,0.47352632582914816,0.12709223534312997,3.022894309478996e-06,0.17889119607166212,3.2806536527887704e-06
1.8,-0.6610056314582066,-0.783685516585589,-0.6610070897091195,0.12267988512738248,1.4582509129112964e-06,0.5977893374340795,0.7513524715430395,0.59778656424825,0.15356313410896005,2.7731858294188783e-06,0.19655022353646462,3.1332180532954134e-06
1.85,-0.6281819994808676,-0.7461178930084371,-0.6281836316610804,0.1179358935275695,1.6321802127627905e-06,0.7136752329470916,0.8930625254292965,0.7136727494965954,0.17938729248220497,2.483450496137962e-06,0.21468273262245002,2.9717904727120784e-06
1.9000000000000001,-0.5897940815532071,-0.7014647667369723,-0.5897958755788232,0.11167068518376522,1.794025616064232e-06,0.8202064619772391,1.024424853522398,0.8202043058599059,0.20421839154515897,2.1561173332296235e-06,0.2327562961011011,2.804883217844884e-06
1.9500000000000002,-0.5463318071572437,-0.6502435240608524,-0.5463337486178377,0.10391171690360868,1.941460593957167e-06,0.9165144081398708,1.1442293097993446,0.916512613990662,0.22771490165947372,1.7941492088668909e-06,0.25030325876352366,2.6435280633211e-06
2.0,-0.4983256021643453,-0.5930320585708851,-0.4983276744659769,0.09470645640653985,2.072301631628193e-06,1.0018487877700446,1.2513934284155281,1.0018473867611626,0.24954464064548354,1.4010088820182176e-06,0.2669116718316517,2.5014515665794544e-06
2.0500000000000003,-0.4463403397598292,-0.5304623871501087,-0.4463425242977246,0.08412204739027956,2.184537895411065e-06,1.0755827288955182,1.3449719715613946,1.0755817482769925,0.2693892426658764,9.806185257144051e-07,0.2822181477531643,2.394539310485693e-06
2.1,-0.39096907038013806,-0.463213788572039,-0.39097134673886635,0.07224471819190093,2.2763587282925712e-06,1.1372165287995777,1.4241650095601885,1.1372159914863194,0.28694848076061086,5.373132583308404e-07,0.2959032441820296,2.3389131231090814e-06
2.15,-0.33282659706449297,-0.39200553809402955,-0.33282894324313667,0.05917894102953658,2.3461786436973497e-06,1.1863800791680177,1.4883244670833926,1.1863800033787162,0.3019443879153749,7.578930150131669e-08,0.307689064568385,2.3474024466127648e-06
2.2,-0.272542962837326,-0.3175893147398599,-0.2725453554968231,0.04504635190253392,2.3926594971412918e-06,1.222833961213297,1.5369590853605306,1.222834360165875,0.3141251241472336,3.9895257808453266e-07,0.31733856910284614,2.425692195811479e-06
2.25,-0.21075691628891335,-0.24074136047183337,-0.21075933101848587,0.02998444418292001,2.414729572519647e-06,1.2464692262786743,1.569737766601292,1.2464701079462819,0.32326854032261765,8.816676075884544e-07,0.3246561504966054,2.5706529673745673e-06
2.3000000000000003,-0.14810942042710032,-0.16225447214176875,-0.14811183202645806,0.014145051714668427,2.411599357737826e-06,1.2573058901219167,1.5864912833636329,1.2573072570526787,0.32918539324171614,1.366930761914631e-06,0.3294891585647606,2.772059012739449e-06
2.35,-0.08523726815644292,-0.0829299079735871,-0.08523965093025145,0.002307360182855822,2.3827738085263617e-06,1.2554901812446015,1.587212352124714,1.255492030447532,0.33172217088011235,1.849202930559457e-06,0.3317301954366348,3.0161502782502244e-06
2.4000000000000004,-0.02276686543171903,-0.003569290367351402,-0.022769193492693005,0.019197575064367627,2.3280609739752267e-06,1.2412905951592335,1.572054086676937,1.2412929180578995,0.33076349151770357,2.322898666085038e-06,0.33132013855081915,3.288727126328077e-06
2.45,0.038691759734719236,0.07503341396649546,0.03868951215785122,0.036341654231776224,2.2475768680155217e-06,1.2150928172710214,1.5413268630168686,1.2150955997256967,0.32623404574584725,2.7824546753318913e-06,0.32825198923388954,3.5768220249146813e-06
2.5,0.09855066761858593,0.1520997571173389,0.0985485258720329,0.053549089498752964,2.1417465530249036e-06,1.1773935870022096,1.4954936429632322,1.1773968094004141,0.31810005596102253,3.2223982044943256e-06,0.3225758059566016,3.869228409608602e-06
2.5500000000000003,0.15624938555035078,0.2268744392655005,0.15624737424893476,0.07062505371514971,2.0113014160272336e-06,1.128793584822395,1.4351638186804998,1.1287972222368765,0.3063702338581049,3.6374144816164744e-06,0.31440518190153555,4.156454919421886e-06
