t,y_exacta,y_euler,y_rk4,error_y_euler,error_y_rk4,error_norma_euler,error_norma_rk4
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.1,1.0512710963760241,1.05,1.05127109375,0.0012710963760240723,2.626024064866783e-09,0.0012710963760240723,2.626024064866783e-09
0.2,1.1051709180756477,1.1025,1.1051709125543214,0.002670918075647677,5.521326285062855e-09,0.002670918075647677,5.521326285062855e-09
0.30000000000000004,1.161834242728283,1.1576250000000001,1.1618342340216672,0.004209242728282936,8.706615872711154e-09,0.004209242728282936,8.706615872711154e-09
0.4,1.2214027581601699,1.2155062500000002,1.2214027459561516,0.005896508160169622,1.220401824042483e-08,0.005896508160169622,1.220401824042483e-08
0.5,1.2840254166877414,1.2762815625000004,1.284025400650577,0.007743854187741039,1.603716448528303e-08,0.007743854187741039,1.603716448528303e-08
0.6000000000000001,1.3498588075760032,1.3400956406250004,1.3498587873447139,0.009763166951002766,2.0231289310501666e-08,0.009763166951002766,2.0231289310501666e-08
0.7000000000000001,1.4190675485932573,1.4071004226562505,1.419067523779926,0.011967125937006884,2.481333138959485e-08,0.011967125937006884,2.481333138959485e-08
0.8,1.4918246976412703,1.477455443789063,1.4918246678292268,0.014369253852207331,2.981204350049893e-08,0.014369253852207331,2.981204350049893e-08
0.9,1.568312185490169,1.5513282159785162,1.5683121502320618,0.016983969511652708,3.525810710058863e-08,0.016983969511652708,3.525810710058863e-08
1.0,1.6487212707001282,1.628894626777442,1.648721229515874,0.019826643922686182,4.118425422916516e-08,0.019826643922686182,4.118425422916516e-08
1.1,1.7332530178673953,1.7103393581163142,1.7332529702419976,0.02291365975108106,4.76253976255947e-08,0.02291365975108106,4.76253976255947e-08
1.2000000000000002,1.822118800390509,1.7958563260221299,1.8221187457717412,0.02626247436837925,5.4618767952874236e-08,0.02626247436837925,5.4618767952874236e-08
1.3,1.9155408290138962,1.8856491423232364,1.9155407668098365,0.02989168669065978,6.220405968093701e-08,0.02989168669065978,6.220405968093701e-08
1.4000000000000001,2.0137527074704766,1.9799315994393982,2.0137526370468906,0.033821108031078406,7.042358607378674e-08,0.033821108031078406,7.042358607378674e-08
1.5,2.117000016612675,2.0789281794113683,2.1169999372902315,0.03807183720130647,7.932244328046067e-08,0.03807183720130647,7.932244328046067e-08
1.6,2.225540928492468,2.182874588381937,2.225540839543783,0.04266634011053094,8.894868486208907e-08,0.04266634011053094,8.894868486208907e-08
1.7000000000000002,2.339646851925991,2.2920183178010336,2.339646752572486,0.0476285341249576,9.935350497869422e-08,0.0476285341249576,9.935350497869422e-08
1.8,2.45960311115695,2.406619233691085,2.4596030005655134,0.05298387746586464,1.1059143645297809e-07,0.05298387746586464,1.1059143645297809e-07
1.9000000000000001,2.5857096593158464,2.5269501953756395,2.585709536595289,0.058759463940206924,1.2272055727180486e-07,0.058759463940206924,1.2272055727180486e-07
2.0,2.718281828459045,2.6532977051444213,2.718281692656335,0.06498412331462378,1.3580270996627064e-07,0.06498412331462378,1.3580270996627064e-07
2.1,2.857651118063164,2.7859625904016423,2.857650968159427,0.07168852766152156,1.4990373697898463e-07,0.07168852766152156,1.4990373697898463e-07
2.2,3.0041660239464334,2.925260719921724,3.004165858852707,0.07890530402470919,1.650937262454022e-07,0.07890530402470919,1.650937262454022e-07
2.3000000000000003,3.158192909689768,3.0715237559178106,3.1581927282424935,0.0866691537719575,1.8144727453872633e-07,0.0866691537719575,1.8144727453872633e-07
2.4000000000000004,3.320116922736548,3.225099943713701,3.3201167236927827,0.095016979022847,1.99043765469753e-07,0.095016979022847,1.99043765469753e-07
2.5,3.4903429574618414,3.3863549408993863,3.4903427394941784,0.10398801656245515,2.1796766302983883e-07,0.10398801656245515,2.1796766302983883e-07
2.6,3.6692966676192444,3.5556726879443556,3.669296429310416,0.1136239796748888,2.3830882822650779e-07,0.1136239796748888,2.3830882822650779e-07
2.7,3.8574255306969745,3.7334563223415733,3.8574252705341308,0.12396920835540115,2.601628437126635e-07,0.12396920835540115,2.601628437126635e-07
2.8000000000000003,4.055199966844675,3.920129138458652,4.0551996832133055,0.13507082838602358,2.836313699461357e-07,0.13507082838602358,2.836313699461357e-07
2.9000000000000004,4.263114515168819,4.116135595381585,4.263114206346305,0.14697891978723376,3.0882251333963495e-07,0.14697891978723376,3.0882251333963495e-07
3.0,4.4816890703380645,4.321942375150664,4.481688734486844,0.15974669518740026,3.3585122061197126e-07,0.15974669518740026,3.3585122061197126e-07
3.1,4.711470182590742,4.538039493908197,4.711469817751038,0.17343068868254452,3.648397042255169e-07,0.17343068868254452,3.648397042255169e-07
3.2,4.953032424395115,4.764941468603607,4.953032028477247,0.18809095579150803,3.959178682677589e-07,0.18809095579150803,3.959178682677589e-07
3.3000000000000003,5.2069798271798495,5.003188542033787,5.206979397956056,0.20379128514606215,4.292237933967158e-07,0.20379128514606215,4.292237933967158e-07
3.4000000000000004,5.473947391727201,5.2533479691354765,5.47394692682298,0.22059942259172427,4.6490422089817685e-07,0.22059942259172427,4.6490422089817685e-07
3.5,5.754602676005731,5.51601536759225,5.754602172890645,0.23858730841348041,5.031150855927535e-07,0.23858730841348041,5.031150855927535e-07
3.6,6.0496474644129465,5.791816135971863,6.049646920390876,0.2578313284410836,5.44022070947392e-07,0.2578313284410836,5.44022070947392e-07
3.7,6.359819522601832,6.081406942770456,6.359818934800635,0.27841257983137613,5.878011970494867e-07,0.27841257983137613,5.878011970494867e-07
3.8000000000000003,6.68589444227927,6.3854772899089784,6.6858938076398235,0.3004171523702919,6.346394467726668e-07,0.3004171523702919,6.346394467726668e-07
3.9000000000000004,7.0286875805892945,6.704751154404427,7.02868689585387,0.3239364261848676,6.847354248051829e-07,0.3239364261848676,6.847354248051829e-07
4.0,7.38905609893065,7.039988712124648,7.38905536063059,0.34906738680600213,7.383000601990375e-07,0.34906738680600213,7.383000601990375e-07
4.1000000000000005,7.767901106306774,7.39198814773088,7.767900310749421,0.3759129585758938,7.955573533280358e-07,0.3759129585758938,7.955573533280358e-07
4.2,8.16616991256765,7.7615875551174245,8.16616905582251,0.4045823574502254,8.567451406094051e-07,0.4045823574502254,8.567451406094051e-07
4.3,8.584858397177893,8.149666932873295,8.584857475061934,0.435191464304598,9.221159587013972e-07,0.435191464304598,9.221159587013972e-07
4.4,9.025013499434122,8.557150279516959,9.025012507496223,0.46786321991716306,9.91937898930928e-07,0.46786321991716306,9.91937898930928e-07
4.5,9.487735836358526,8.985007793492807,9.487734769862985,0.5027280428657193,1.0664955407690968e-06,0.5027280428657193,1.0664955407690968e-06
4.6000000000000005,9.974182454814724,9.434258183167447,9.974181308723765,0.5399242716472763,1.1460909590255142e-06,0.5399242716472763,1.1460909590255142e-06
4.7,10.485569724727576,9.905971092325819,10.485568493682837,0.5795986324017566,1.2310447381480571e-06,0.5795986324017566,1.2310447381480571e-06
4.800000000000001,11.023176380641605,10.40126964694211,11.023175058944496,0.621906733699495,1.3216971090912466e-06,0.621906733699495,1.3216971090912466e-06
4.9,11.588346719223392,10.921333129289215,11.5883453008143,0.6670135899341769,1.4184090915136949e-06,0.6670135899341769,1.4184090915136949e-06
5.0,12.182493960703473,11.467399785753676,12.182492439139722,0.7150941749497974,1.5215637514387481e-06,0.7150941749497974,1.5215637514387481e-06
