t,x_exacta,x_euler,x_rk4,error_x_euler,error_x_rk4,y_exacta,y_euler,y_rk4,error_y_euler,error_y_rk4,error_norma_euler,error_norma_rk4
0.34,0.5802595726689597,0.8086465731253555,0.5802560664711469,0.22838700045639582,3.5061978127526316e-06,-2.7118089953396507,-2.7077977334088823,-2.7118102882494313,0.004011261930768395,1.2929097805702838e-06,0.22842222352421618,3.736982579949449e-06
0.36,0.3840560280953449,0.6405415488401662,0.38405198252825634,0.25648552074482134,4.045567088550861e-06,-2.9195271236532636,-2.934957323263444,-2.919528257594799,0.015430199610180217,1.1339415353361915e-06,0.2569492428705564,4.20148027170502e-06
0.38,0.15876005324893816,0.4441774559095007,0.15875543180065163,0.28541740266056254,4.621448286529217e-06,-3.122735284173368,-3.1622980865664636,-3.1227361886973215,0.03956280239309562,9.045239535154792e-07,0.2881463327455285,4.709134511515584e-06
0.4,-0.09694582812833175,0.21784425633875365,-0.09695105789948197,0.3147900844670854,5.229771150222495e-06,-3.3187012349788514,-3.3875701682332116,-3.3187018299529316,0.06886893325436017,5.949740802257963e-07,0.3222355151847609,5.263506477609774e-06
0.42,-0.38422423818460905,-0.04009070173957807,-0.3842301033679092,0.344133536445031,5.865183300146626e-06,-3.504421264398597,-3.6082519188343047,-3.504421459662035,0.10383065443570771,1.9526343786324674e-07,0.35945611096031016,5.868432751125724e-06
0.44,-0.7040508592792565,-0.3311562973506972,-0.7040573802016179,0.3728945619285593,6.5209223614193235e-06,-3.6766174665420177,-3.8215397778251967,-3.67661716166023,0.144922311283179,3.048817878159582e-07,0.4000660328290203,6.528045752612371e-06
0.46,-1.0571802420129521,-0.6567488574177548,-1.0571874307016882,0.40043138459519734,7.18868873605949e-06,-3.831737580283647,-4.024339660706652,-3.8317366644224684,0.19260208042300553,9.158611784521042e-07,0.44434317273037593,7.246795667199694e-06
0.48,-1.4441096013994343,-1.0181009617193522,-1.444117459920321,0.4260086396800822,7.858520886694365e-06,-3.965957720243419,-4.213260131755631,-3.965956072183568,0.24730241151221222,1.648059851255823e-06,0.49258688961626823,8.02947394291388e-06
0.5,-1.8650407290091051,-1.4162478299629637,-1.8650492476843614,0.4487928990461414,8.518675256308228e-06,-4.075188339491214,-4.384607662723421,-4.075185827804816,0.30941932323220733,2.511686397532742e-06,0.545119605062703,8.881238465551359e-06
0.52,-2.3198401852132435,-1.8519913127786152,-2.3198493407264946,0.46784887243462836,9.155513251091207e-06,-4.1550837727109196,-4.534384296089789,-4.155080256122982,0.37930052337886977,3.516587937291149e-06,0.6022885143133959,9.807640573125032e-06
0.54,-2.807997974841823,-2.3258615352325154,-2.808007728239711,0.48213643960930774,9.753397888001558e-06,-4.2010557150121635,-4.658288048832888,-4.201051042970795,0.45723233382072426,4.672041368891655e-06,0.6644674209397221,1.0814653989578597e-05
