t,euler_x,euler_y,rk4_x,rk4_y,referencia_x,referencia_y,diferencia_euler_rk4
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05,0.925,1.065,0.9230875868934926,1.0620776751687147,0.9230875471643915,1.0620777032629787,0.003492464217352582
0.1,0.8459330975,1.1243311125,0.8426529995318626,1.1181830333015432,0.8426529177421542,1.1181830828778205,0.00696835134813649
0.15000000000000002,0.7632282318791027,1.1777532460737516,0.7591549220705055,1.1681502092197582,0.7591547966489551,1.1681502736471463,0.010431211320645868
0.2,0.6773271644292785,1.2250585876630162,0.6730561933265078,1.2118474703603401,0.6730560234383696,1.211847543058936,0.013884337022190532
0.25,0.5886820784466311,1.266072153937149,0.5848214042563709,1.2491768645189738,0.5848211897745758,1.2491769390250866,0.01733077060396452
0.30000000000000004,0.49775316997525604,1.300652167604908,0.49491457084844703,1.2800737132487234,0.49491431232030464,1.2800737832754123,0.020773310489478954
0.35000000000000003,0.4050062416215077,1.3286902604211612,0.4037968908519271,1.3045059597156137,0.4037965894618757,1.3045060192083688,0.02421451898965233
0.4,0.31091031154492577,1.35011150547772,0.3119245919541026,1.3224733801212327,0.31192424948304115,1.3224734233086597,0.027656730428041253
0.45,0.21593524936609695,1.3648742821779485,0.21974687821267935,1.3340066680494933,0.21974649699439774,1.3340066894889104,0.031102059681752666
0.5,0.1205494503148997,1.3729699780658693,0.1277039807538881,1.3391664012823132,0.12770356362910396,1.3391663959002118,0.034552411047048245
0.55,0.02521755847860034,1.374422532409372,0.036225317963477874,1.338041900759806,0.036224868231970214,1.338041863887169,0.03800948734327154
0.6000000000000001,-0.06960175049802095,1.3692878271212818,-0.054272230370454505,1.3307499914373275,-0.054272708999142355,1.3307499188398348,0.04147479917425673
0.65,-0.16345791745500113,1.3576529312392316,-0.14338593125358046,1.3174336748172233,-0.14338643471041612,1.3174335627204046,0.04494967427256039
0.7000000000000001,-0.25591056927849287,1.339635205773609,-0.2307286860399333,1.2982607229102399,-0.23072920994721813,1.2982605680196737,0.04843526685847483
0.75,-0.3465315013708539,1.315381276270746,-0.3159303950699653,1.2734222033132514,-0.3159309347922971,1.273422002829935,0.051932566952641944
0.8,-0.43490656505985326,1.285065880924708,-0.3986391977971643,1.2431309449791572,-0.3986397484921565,1.243130696610199,0.055442409588005906
0.8500000000000001,-0.5206374526409079,1.2488906025045836,-0.478522587461304,1.2076199541045347,-0.47852314412970426,1.2076196560693335,0.05896548387367538
0.9,-0.6033433734288465,1.2070824927444297,-0.5552683999907089,1.1671407893738388,-0.5552689575255839,1.1671404404059629,0.06250234186990042
0.9500000000000001,-0.6826626148932211,1.1598925981696382,-0.6285856774102417,1.121961905578617,-0.6285862306449238,1.1219615049235707,0.06605340723969212
1.0,-0.7582539836596589,1.1075943966064188,-0.6982054065949984,1.0723669743792636,-0.6982059503495142,1.072366521788389,0.0696189836485763
1.05,-0.8297981218752419,1.050482153840541,-0.7638811347410545,1.0186531906981933,-0.7638816638667827,1.0186526864189398,0.07319926288949619
1.1,-0.8969986951545996,0.9888692100579655,-0.8253894634233964,0.9611295729297803,-0.8253899728457303,0.9611290176925863,0.07679433271496379
1.1500000000000001,-0.9595834490415766,0.923086205814234,-0.8825304235769262,0.9001152648267922,-0.8825309083357401,0.9001146598288452,0.08040418436315727
1.2000000000000002,-1.0173051316354114,0.8534792573425103,-0.9351277341688659,0.835937846578029,-0.9351281894566119,0.8359371934641644,0.08402871976879607
1.25,-1.069942280736877,0.7804080910231397,-0.9830289477298996,0.7689316622301032,-0.9830293689271866,0.7689309630711113,0.08766775845328426
1.3,-1.1172998745654918,0.7042441468019995,-1.0261054862770278,0.6994361702302867,-1.0261058689855607,0.6994354274988948,0.09132104409182631
1.35,-1.1592098457805826,0.6253686602623488,-1.0642525714935553,0.6277943234795735,-1.0642529115663286,0.627793540024377,0.09498825075800231
1.4000000000000001,-1.1955314592037014,0.5441707329271699,-1.0973890533312407,0.5543509848878949,-1.0973893468999207,0.5543501639055028,0.09866898884866843
1.4500000000000002,-1.2261515542848993,0.46104540019812024,-1.1254571414668437,0.4794513840190348,-1.125457384966269,0.47945052902469487,0.10236281069406392
1.5,-1.2509846539780445,0.3763917061252896,-1.1484220442807032,0.4034396200033769,-1.1484222344704837,0.40343873480034226,0.10606921585967155
1.55,-1.269972942288364,0.2906107939512698,-1.1662715202292355,0.3266572154841941,-1.1662716542124265,0.32665630413208613,0.10978765614774179
1.6,-1.283086113326492,0.2041040210859613,-1.179015346657136,0.2494417259497107,-1.1790154218959972,0.24944079273212422,0.1135175403074783
1.6500000000000001,-1.2903210952455395,0.1172711068475517,-1.1866847112394499,0.17212540839043627,-1.1866847255683128,0.17212445778202753,0.11725823846372324
1.7000000000000002,-1.2917016529493053,0.030508320952779472,-1.189331531359498,0.09503395281099791,-1.1893314829947745,0.09503298944428623,0.1210090862746027
1.75,-1.2872778739391268,-0.05579327964142801,-1.187027706816884,0.018485279719484368,-1.1870275943642759,0.018484308351587424,0.12476938882903214
1.8,-1.2771255421127148,-0.14124955834987601,-1.1798643113215328,-0.057211593683356265,-1.1798641337805098,-0.05721256820384335,0.12853842429525417
1.85,-1.2613454047394341,-0.22548494425981708,-1.1679507282660444,-0.13175761628647442,-1.1679504850316729,-0.13175858905225715,0.13231544733171435
1.9000000000000001,-1.2400623382119846,-0.30813400880650743,-1.1514137362807029,-0.20486469287940223,-1.1514134271429135,-0.20486565895673517,0.13609969227159596
